EQUIPO,J,G,E,P,GF,GC,DIF,PTS,POS,CREATED_AT,LIGA
Liverpool,30,22,7,1,70,27,43,73,1,2025-04-03 19:35:29,INGLATERRA
Arsenal,30,17,10,3,55,25,30,61,2,2025-04-03 19:35:29,INGLATERRA
Nottingham Forest,30,17,6,7,50,35,15,57,3,2025-04-03 19:35:29,INGLATERRA
Chelsea,30,15,7,8,54,37,17,52,4,2025-04-03 19:35:29,INGLATERRA
Manchester City,30,15,6,9,57,40,17,51,5,2025-04-03 19:35:29,INGLATERRA
Newcastle United,29,15,5,9,49,39,10,50,6,2025-04-03 19:35:29,INGLATERRA
Aston Villa,30,13,9,8,44,45,-1,48,7,2025-04-03 19:35:29,INGLATERRA
Brighton & Hove Albion,30,12,11,7,48,45,3,47,8,2025-04-03 19:35:29,INGLATERRA
Fulham,30,12,9,9,44,40,4,45,9,2025-04-03 19:35:29,INGLATERRA
AFC Bournemouth,30,12,8,10,49,38,11,44,10,2025-04-03 19:35:29,INGLATERRA
Brentford,30,12,5,13,51,47,4,41,11,2025-04-03 19:35:29,INGLATERRA
Crystal Palace,29,10,10,9,37,34,3,40,12,2025-04-03 19:35:29,INGLATERRA
Manchester United,30,10,7,13,37,41,-4,37,13,2025-04-03 19:35:29,INGLATERRA
Tottenham Hotspur,30,10,4,16,55,44,11,34,14,2025-04-03 19:35:29,INGLATERRA
Everton,30,7,13,10,32,37,-5,34,15,2025-04-03 19:35:29,INGLATERRA
West Ham United,30,9,7,14,33,50,-17,34,16,2025-04-03 19:35:29,INGLATERRA
Wolverhampton Wanderers,30,8,5,17,41,58,-17,29,17,2025-04-03 19:35:29,INGLATERRA
Ipswich Town,30,4,8,18,30,63,-33,20,18,2025-04-03 19:35:29,INGLATERRA
Leicester City,30,4,5,21,25,67,-42,17,19,2025-04-03 19:35:29,INGLATERRA
Southampton,30,2,4,24,22,71,-49,10,20,2025-04-03 19:35:29,INGLATERRA
