EQUIPO,J,G,E,P,GF,GC,DIF,PTS,CREATED_AT
1BMUBayern Munich,26,19,5,2,75,24,51,62,2025-03-24 23:11:04
2LEVBayer Leverkusen,26,16,8,2,59,33,26,56,2025-03-24 23:11:04
3M05Mainz,26,13,6,7,44,28,16,45,2025-03-24 23:11:04
4FRAEintracht Frankfurt,26,13,6,7,54,40,14,45,2025-03-24 23:11:04
5RBLRB Leipzig,26,11,9,6,41,33,8,42,2025-03-24 23:11:04
6SCFSC Freiburg,26,12,6,8,36,38,-2,42,2025-03-24 23:11:04
7MGBBorussia Monchengladbach,26,12,4,10,43,40,3,40,2025-03-24 23:11:04
8WLFVfL Wolfsburg,26,10,8,8,49,40,9,38,2025-03-24 23:11:04
9AUGF. C. Augsburgo,26,10,8,8,29,35,-6,38,2025-03-24 23:11:04
10VFBVfB Stuttgart,26,10,7,9,47,43,4,37,2025-03-24 23:11:04
11DORBorussia Dortmund,26,10,5,11,45,41,4,35,2025-03-24 23:11:04
12BREWerder Bremen,26,9,6,11,40,53,-13,33,2025-03-24 23:11:04
13FCU1. FC Union Berlin,26,7,6,13,23,39,-16,27,2025-03-24 23:11:04
14TSGTSG Hoffenheim,26,6,8,12,32,48,-16,26,2025-03-24 23:11:04
15STPSt Pauli,26,7,4,15,20,30,-10,25,2025-03-24 23:11:04
16BOCVfL Bochum,26,5,5,16,27,52,-25,20,2025-03-24 23:11:04
17HDH1. FC Heidenheim 1846,26,5,4,17,31,52,-21,19,2025-03-24 23:11:04
18KSVHolstein Kiel,26,4,5,17,38,64,-26,17,2025-03-24 23:11:04
